Date,Location,States and Countries,Magnitude,I,Deaths,Injuries,Total Damage/Notes
2017-01-03,"India, Bangladesh",Meghalaya,5.7 Mw,V,3,8,
2016-01-04,"India, Myanmar, Bangladesh",Mijoram,6.7 Mw,VII,11,200,
2015-10-26,"Afghanistan, India, Pakistan",Jammu and Kashmir,7.7 Mw,VII,399,2536,
2015-05-12,"Nepal, India",Nepal,7.3 Mw,VIII,218,"3,500",
2015-04-25,"Nepal, India",Nepal,7.8 Mw,IX,8964,21952,$10 billion
2013-05-01,Kashmir,Jammu and Kashmir,5.7 Mw,,3,90,$19.5 million
2011-09-18,"Gangtok, Sikkim",Sikkim,6.9 Mw,VII,111,,
2009-08-10,Andaman Islands,Andaman Islands,7.5 Mw,VIII,,,Tsunami warning issued
2008-02-06,West Bengal,West Bengal,4.3 Mb,,1,50,Buildings damaged
2007-11-06,Gujarat,Gujarat,5.1 Mw,V,1,5,Buildings damaged
2006-11-29,"Alwar district, Rajasthan",Rajasthan,4.0 Mw,,1,2,Minor damage to property
2006-03-07,Gujarat,Gujarat,5.5 Mw,VI,,7,Buildings damaged
2006-02-14,Sikkim,Sikkim,5.3 Mw,V,2,2,Landslide
2005-12-14,Uttarakhand,Uttarakhand,5.1 Mw,VI,1,3,Building destroyed
2005-10-08,Kashmir,Jammu and Kashmir,7.6 Mw,VIII,87351,75266,2.8 million displaced
2002-09-13,Andaman Islands,Andaman Islands,6.5 Mw,,2,,Destructive tsunami
2001-01-26,Gujarat,Gujarat,7.7 Mw,X,20023,166800,
1999-03-29,Chamoli district-Uttarakhand,Uttarakhand,6.8 Mw,VIII,103,,
1997-11-21,"Bangladesh, India",Meghalaya,6.1 Mw,,23,200,
1997-05-22,"Jabalpur, Madhya Pradesh",Mashya Pradesh,5.8 Mw,VIII,56,1500,$37–143 million
1993-09-30,"Latur, Maharashtra",Maharashtra,6.2 Mw,VIII,9748,30000,
1991-10-20,"Uttarkashi, Uttarakhand",Uttarakhand,6.8 Mw,IX,2000,1800,
1988-08-21,"Udayapur, Nepal",Nepal,6.9 Mw,VIII,1450,,
1988-08-06,"Myannmar, India",Mijoram,7.3 Mw,VII,3,12,
1988-02-06,"Bangladesh, India",Meghalaya,5.9 Mw,,2,100,
1986-04-26,"India, Pakistan",Jammu and Kashmir,5.3 Ms,,6,30,Severe damage
1984-12-30,Cachar district,Assam,5.6 Mb,,20,100,Severe damage
1982-01-20,Little Nicobar,Nicobar Islands,6.3 Ms,,,5,Moderate damage
1980-08-23,Kashmir,Jammu and Kashmir,4.8 Ms,,5,,Limited damage / doublet
1980-08-23,Kashmir,Jammu and Kashmir,4.9 Ms,,15,40,Moderate damage / doublet
1980-07-29,"Nepal, Pithoragarh district",Nepal,6.5 Ms,,200,500,$245 million
1975-01-19,Himachal Pradesh,Himachal Pradesh,6.8 Ms,IX,47,,
1970-03-23,Bharuch district,Gujarat,5.4 Mb,,26,200,Moderate damage
1967-12-11,Maharashtra,Maharashtra,6.6 Mw,VIII,180,2272,400000
1966-08-15,North India,Jammu and Kashmir,5.6,,15,,Limited damage
1966-06-27,"Nepal, India",Jammu and Kashmir,5.3 Ms,VIII,80,100,$1 million
1963-09-02,Kashmir,Jammu and Kashmir,5.3,,80,,Moderate damage
1960-08-27,North India,Jammu and Kashmir,,,,,Moderate damage
1956-07-21,Gujarat,Gujarat,6.1 Ms,IX,115,254,
1954-03-21,"India, Myannmar",Mijoram,7.4 Ms,,,,Moderate damage
1950-08-15,"Assam, Tibet",Assam,8.6 Mw,XI,3300,,
1947-07-29,"India, China",Jammu and Kashmir,7.3 Mw,,,,
1941-06-26,Andaman Islands,Andaman Islands,7.7–8.1 Mw,,8000,,Destructive tsunami
1934-01-15,Nepal,Nepal,8.0 Mw,XI,10700,,
1932-08-14,"Assam, Myannmar",Assam,7.0 Ms,,,,Moderate damage
1905-04-04,Kangra,Himachal Pradesh,7.8 Ms,IX,20000,,
1897-06-12,"Shillong, India",Meghalaya,8.0 Mw,X,1542,,
1885-06-06,Kashmir,Jammu and Kashmir,,,,,Severe damage
1885-05-30,Srinagar,Jammu and Kashmir,,,3000,,Extreme damage
1881-12-31,Andaman Islands,Andaman Islands,7.9 Mw,VII,,,Significant in seismology
1869-01-10,"Assam, Cachar",Assam,7.4 Mw,VII,2,,Severe damage
1845-06-19,Rann of Kutch,Gujarat,6.3 Ms,VIII,5,,Limited damage / tsunami
1843-04-01,Deccan Plateau,Andhra Pradesh,,,,,Moderate damage
1833-08-26,"Bihar, Kathmandu",Bihar,8.0 Ms,,,,Severe damage
1828-06-06,Kashmir,Jammu and Kashmir,,,1000,,Severe damage
1819-06-16,Gujarat,Gujarat,7.7–8.2 Mw,XI,1543,,Formed the Allah Bund
1618-05-26,Bombay,Maharastra,,IX,2000,,Severe damage
1505-06-06,"Saldang, Karnali zone",Nepal,8.2–8.8,,6000,,
